# KSA64 aligned calm (Up to date)
# 1558 data points written for 20 variables.
#
# [FlightDataType.FlightDataType.TYPE_TIME] (s),[FlightDataType.FlightDataType.TYPE_ALTITUDE] (m),[FlightDataType.FlightDataType.TYPE_POSITION_X] (m),[FlightDataType.FlightDataType.TYPE_POSITION_Y] (m),[FlightDataType.FlightDataType.TYPE_POSITION_XY] (m),[FlightDataType.FlightDataType.TYPE_VELOCITY_TOTAL] (m/s),[FlightDataType.FlightDataType.TYPE_ACCELERATION_TOTAL] (m/s²),[FlightDataType.FlightDataType.TYPE_MACH_NUMBER] (​),[FlightDataType.FlightDataType.TYPE_AOA] (rad),[FlightDataType.FlightDataType.TYPE_PITCH_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_YAW_RATE] (rad/s),[FlightDataType.FlightDataType.TYPE_MASS] (kg),[FlightDataType.FlightDataType.TYPE_CP_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_CG_LOCATION] (m),[FlightDataType.FlightDataType.TYPE_STABILITY] (​),[FlightDataType.FlightDataType.TYPE_DRAG_COEFF] (​),[FlightDataType.FlightDataType.TYPE_THRUST_FORCE] (N),[FlightDataType.FlightDataType.TYPE_AIR_DENSITY] (kg/m³),[FlightDataType.FlightDataType.TYPE_WIND_VELOCITY] (m/s),[FlightDataType.FlightDataType.TYPE_TIME_STEP] (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.046,0.027414946,-0.000000035,0,0.000000035,1.969356747,90.524015947,0.00578561,0.000001317,0,0,2.573512629,NaN,1.043192715,NaN,1.621038802,258.175044444,1.224996334,0,0.002
0.048,0.031534933,-0.00000004,0,0.00000004,2.150742331,90.861568731,0.006318488,0.000001206,0,0,2.57329981,NaN,1.043137727,NaN,1.598300826,259.024088889,1.224995863,0,0.002
0.05,0.036018366,-0.000000045,0,0.000000045,2.332803023,91.199122954,0.006853349,0.000001112,0,0,2.573086991,NaN,1.04308273,NaN,1.577929166,259.873133333,1.224995351,0,0.002
0.052,0.040866595,-0.00000005,0,0.00000005,2.515538824,91.536678516,0.007390194,0.000001031,0,0,2.572874172,NaN,1.043027723,NaN,1.559517462,260.722177778,1.224994798,0,0.002
0.054,0.046080971,-0.000000056,0,0.000000056,2.698949738,91.874235281,0.007929022,0.000000961,0,0,2.572661352,NaN,1.042972706,NaN,1.542752399,261.571222222,1.224994203,0,0.002
0.056,0.051662844,-0.000000061,0,0.000000061,2.883035766,92.211793083,0.008469834,0.0000009,0,0,2.572448533,NaN,1.042917679,NaN,1.527387781,262.420266667,1.224993566,0,0.002
0.058,0.057613564,-0.000000066,0,0.000000066,3.06779691,92.549351724,0.009012629,0.000000846,0,0,2.572235714,NaN,1.042862643,NaN,1.513226967,263.269311111,1.224992886,0,0.002
0.06,0.063934482,-0.000000071,0,0.000000071,3.253233173,92.886910987,0.009557408,0.000000797,0,0,2.572022894,NaN,1.042807596,NaN,1.500110635,264.118355556,1.224992165,0,0.002
0.062,0.070626947,-0.000000076,0,0.000000076,3.439344555,93.224470634,0.01010417,0.000000754,0,0,2.571810075,NaN,1.04275254,NaN,1.487908064,264.9674,1.224991401,0,0.002
0.064,0.07769231,-0.000000082,0,0.000000082,3.626131056,93.562030406,0.010652916,0.000000715,0,0,2.571597256,NaN,1.042697474,NaN,1.4765108,265.816444444,1.224990594,0,0.002
