time_s,phase,events,east_m,north_m,altitude_m,east_velocity_mps,north_velocity_mps,vertical_velocity_mps,mach,aoa_deg,dynamic_pressure_pa,static_margin_calibers,wind_east_mps,wind_north_mps
9.349770,2,0,0.000000,0.000000,718.902344,0.001329,0.000000,26.810085,0.08004731,0.00018612,417.091431,10.31475109,0.000000,0.000000
9.609776,2,0,0.000000,0.000000,725.496460,0.001305,0.000000,24.122917,0.07208472,0.00029199,337.967285,10.31475109,0.000000,0.000000
9.869781,2,0,0.000000,0.000000,731.395630,0.001280,0.000000,21.463219,0.06420261,0.00038847,267.904541,10.31475109,0.000000,0.000000
10.129787,2,0,0.000000,0.000000,736.606689,0.001255,0.000000,18.827686,0.05639136,0.00041344,206.548462,10.31475109,0.000000,0.000000
10.389793,2,0,0.000000,0.000000,741.135742,0.001230,0.000000,16.213140,0.04864162,0.00056584,153.593262,10.31475109,0.000000,0.000000
10.649799,2,0,0.000000,0.000000,744.987427,0.001205,0.000000,13.616518,0.04094464,0.00091759,108.778564,10.31475109,0.000000,0.000000
10.909805,2,0,0.000000,0.000000,748.165894,0.001181,0.000000,11.034845,0.03329164,0.00154682,71.886841,10.31475109,0.000000,0.000000
11.169811,2,0,0.000000,0.000000,750.675049,0.001163,0.000000,8.465229,0.02567422,0.00000000,42.740601,10.31475109,0.000000,0.000000
11.429817,2,0,0.000000,0.000000,752.517334,0.001163,0.000000,5.904823,0.01808423,0.00000000,21.200562,10.31475109,0.000000,0.000000
11.689823,2,0,0.000000,0.000000,753.694946,0.001163,0.000000,3.350853,0.01051348,0.00000000,7.164307,10.31475109,0.000000,0.000000
11.949829,2,0,0.000000,0.000000,754.209106,0.001163,0.000000,0.800570,0.00295413,0.00000000,0.565552,10.31475109,0.000000,0.000000
12.049831,3,12,0.000000,0.000000,754.230469,0.001163,0.000000,-0.179907,0.00004810,0.00000000,0.000122,10.31475109,0.000000,0.000000
12.349827,3,0,0.000000,0.000000,753.663452,0.001154,0.000000,-3.101923,0.00000000,0.00000000,3.914673,0.00000000,0.000000,0.000000
12.649822,3,0,0.000000,0.000000,752.257690,0.001083,0.000000,-5.746351,0.00000000,0.00000000,16.250610,0.00000000,0.000000,0.000000
12.949818,3,0,0.000000,0.000000,750.148315,0.000957,0.000000,-7.876213,0.00000000,0.00000000,32.534546,0.00000000,0.000000,0.000000
13.249813,3,0,0.000000,0.000000,747.491943,0.000820,0.000000,-9.482361,0.00000000,0.00000000,48.742188,0.00000000,0.000000,0.000000
13.549809,3,0,0.000000,0.000000,744.437988,0.000685,0.000000,-10.619272,0.00000000,0.00000000,62.331787,0.00000000,0.000000,0.000000
13.849804,3,0,0.000000,0.000000,741.110229,0.000559,0.000000,-11.387764,0.00000000,0.00000000,72.544067,0.00000000,0.000000,0.000000
14.149799,3,0,0.000000,0.000000,737.600708,0.000448,0.000000,-11.890787,0.00000000,0.00000000,79.693604,0.00000000,0.000000,0.000000
14.449795,3,0,0.000000,0.000000,733.973633,0.000360,0.000000,-12.212891,0.00000000,0.00000000,84.475830,0.00000000,0.000000,0.000000
14.749790,3,0,0.000000,0.000000,730.271973,0.000288,0.000000,-12.416025,0.00000000,0.00000000,87.583252,0.00000000,0.000000,0.000000
15.049786,3,0,0.000000,0.000000,726.523560,0.000233,0.000000,-12.542675,0.00000000,0.00000000,89.565796,0.00000000,0.000000,0.000000
15.349781,3,0,0.000000,0.000000,722.746338,0.000187,0.000000,-12.620865,0.00000000,0.00000000,90.816284,0.00000000,0.000000,0.000000
15.649776,3,0,0.000000,0.000000,718.951294,0.000147,0.000000,-12.668613,0.00000000,0.00000000,91.599243,0.00000000,0.000000,0.000000
15.949772,3,0,0.000000,0.000000,715.145386,0.000113,0.000000,-12.697353,0.00000000,0.00000000,92.087280,0.00000000,0.000000,0.000000
16.249767,3,0,0.000000,0.000000,711.333008,0.000093,0.000000,-12.714272,0.00000000,0.00000000,92.390747,0.00000000,0.000000,0.000000
16.549763,3,0,0.000000,0.000000,707.516846,0.000082,0.000000,-12.723837,0.00000000,0.00000000,92.578979,0.00000000,0.000000,0.000000
16.849758,3,0,0.000000,0.000000,703.698853,0.000071,0.000000,-12.728853,0.00000000,0.00000000,92.695679,0.00000000,0.000000,0.000000
17.149754,3,0,0.000000,0.000000,699.879883,0.000059,0.000000,-12.731050,0.00000000,0.00000000,92.767944,0.00000000,0.000000,0.000000
17.449749,3,0,0.000000,0.000000,696.060303,0.000048,0.000000,-12.731499,0.00000000,0.00000000,92.812744,0.00000000,0.000000,0.000000
17.749744,3,0,0.000000,0.000000,692.240845,0.000036,0.000000,-12.730873,0.00000000,0.00000000,92.840454,0.00000000,0.000000,0.000000
18.049740,3,0,0.000000,0.000000,688.421997,0.000032,0.000000,-12.729576,0.00000000,0.00000000,92.857544,0.00000000,0.000000,0.000000
18.349735,3,0,0.000000,0.000000,684.603394,0.000032,0.000000,-12.727869,0.00000000,0.00000000,92.868286,0.00000000,0.000000,0.000000
18.649731,3,0,0.000000,0.000000,680.785400,0.000032,0.000000,-12.725912,0.00000000,0.00000000,92.874878,0.00000000,0.000000,0.000000
18.949726,3,0,0.000000,0.000000,676.968018,0.000032,0.000000,-12.723795,0.00000000,0.00000000,92.879028,0.00000000,0.000000,0.000000
19.249722,3,0,0.000000,0.000000,673.151367,0.000032,0.000000,-12.721582,0.00000000,0.00000000,92.881592,0.00000000,0.000000,0.000000
19.549717,3,0,0.000000,0.000000,669.335327,0.000032,0.000000,-12.719311,0.00000000,0.00000000,92.883179,0.00000000,0.000000,0.000000
19.849712,3,0,0.000000,0.000000,665.520020,0.000032,0.000000,-12.716999,0.00000000,0.00000000,92.884155,0.00000000,0.000000,0.000000
20.149708,3,0,0.000000,0.000000,661.705444,0.000032,0.000000,-12.714668,0.00000000,0.00000000,92.884766,0.00000000,0.000000,0.000000
20.449703,3,0,0.000000,0.000000,657.891479,0.000032,0.000000,-12.712324,0.00000000,0.00000000,92.885132,0.00000000,0.000000,0.000000
20.749699,3,0,0.000000,0.000000,654.078247,0.000032,0.000000,-12.709978,0.00000000,0.00000000,92.885376,0.00000000,0.000000,0.000000
21.049694,3,0,0.000000,0.000000,650.265747,0.000032,0.000000,-12.707621,0.00000000,0.00000000,92.885620,0.00000000,0.000000,0.000000
21.349689,3,0,0.000000,0.000000,646.453979,0.000032,0.000000,-12.705269,0.00000000,0.00000000,92.885742,0.00000000,0.000000,0.000000
21.649685,3,0,0.000000,0.000000,642.642822,0.000032,0.000000,-12.702921,0.00000000,0.00000000,92.885986,0.00000000,0.000000,0.000000
21.949680,3,0,0.000000,0.000000,638.832397,0.000032,0.000000,-12.700563,0.00000000,0.00000000,92.885986,0.00000000,0.000000,0.000000
22.249676,3,0,0.000000,0.000000,635.022705,0.000032,0.000000,-12.698206,0.00000000,0.00000000,92.885986,0.00000000,0.000000,0.000000
22.549671,3,0,0.000000,0.000000,631.213745,0.000032,0.000000,-12.695852,0.00000000,0.00000000,92.886108,0.00000000,0.000000,0.000000
22.849667,3,0,0.000000,0.000000,627.405396,0.000032,0.000000,-12.693504,0.00000000,0.00000000,92.886108,0.00000000,0.000000,0.000000
23.149662,3,0,0.000000,0.000000,623.597778,0.000032,0.000000,-12.691158,0.00000000,0.00000000,92.886230,0.00000000,0.000000,0.000000
23.449657,3,0,0.000000,0.000000,619.790894,0.000032,0.000000,-12.688812,0.00000000,0.00000000,92.886230,0.00000000,0.000000,0.000000
23.749653,3,0,0.000000,0.000000,615.984741,0.000032,0.000000,-12.686470,0.00000000,0.00000000,92.886475,0.00000000,0.000000,0.000000
24.049648,3,0,0.000000,0.000000,612.179321,0.000032,0.000000,-12.684128,0.00000000,0.00000000,92.886475,0.00000000,0.000000,0.000000
24.349644,3,0,0.000000,0.000000,608.374512,0.000032,0.000000,-12.681782,0.00000000,0.00000000,92.886475,0.00000000,0.000000,0.000000
24.649639,3,0,0.000000,0.000000,604.570435,0.000032,0.000000,-12.679438,0.00000000,0.00000000,92.886475,0.00000000,0.000000,0.000000
24.949635,3,0,0.000000,0.000000,600.767090,0.000032,0.000000,-12.677101,0.00000000,0.00000000,92.886475,0.00000000,0.000000,0.000000
25.249630,3,0,0.000000,0.000000,596.964355,0.000032,0.000000,-12.674767,0.00000000,0.00000000,92.886597,0.00000000,0.000000,0.000000
25.549625,3,0,0.000000,0.000000,593.162354,0.000032,0.000000,-12.672432,0.00000000,0.00000000,92.886597,0.00000000,0.000000,0.000000
25.849621,3,0,0.000000,0.000000,589.361084,0.000032,0.000000,-12.670097,0.00000000,0.00000000,92.886719,0.00000000,0.000000,0.000000
26.149616,3,0,0.000000,0.000000,585.560547,0.000032,0.000000,-12.667774,0.00000000,0.00000000,92.886841,0.00000000,0.000000,0.000000
26.449612,3,0,0.000000,0.000000,581.760742,0.000032,0.000000,-12.665451,0.00000000,0.00000000,92.886963,0.00000000,0.000000,0.000000
26.749607,3,0,0.000000,0.000000,577.961548,0.000032,0.000000,-12.663120,0.00000000,0.00000000,92.887085,0.00000000,0.000000,0.000000
27.049603,3,0,0.000000,0.000000,574.163086,0.000032,0.000000,-12.660791,0.00000000,0.00000000,92.887085,0.00000000,0.000000,0.000000
27.349598,3,0,0.000000,0.000000,570.365356,0.000032,0.000000,-12.658466,0.00000000,0.00000000,92.887085,0.00000000,0.000000,0.000000
27.649593,3,0,0.000000,0.000000,566.568237,0.000032,0.000000,-12.656143,0.00000000,0.00000000,92.887085,0.00000000,0.000000,0.000000
27.949589,3,0,0.000000,0.000000,562.771851,0.000032,0.000000,-12.653820,0.00000000,0.00000000,92.887085,0.00000000,0.000000,0.000000
28.249584,3,0,0.000000,0.000000,558.976196,0.000032,0.000000,-12.651499,0.00000000,0.00000000,92.887207,0.00000000,0.000000,0.000000
28.549580,3,0,0.000000,0.000000,555.181152,0.000032,0.000000,-12.649187,0.00000000,0.00000000,92.887329,0.00000000,0.000000,0.000000
28.849575,3,0,0.000000,0.000000,551.386841,0.000032,0.000000,-12.646875,0.00000000,0.00000000,92.887451,0.00000000,0.000000,0.000000
29.149570,3,0,0.000000,0.000000,547.593262,0.000032,0.000000,-12.644562,0.00000000,0.00000000,92.887573,0.00000000,0.000000,0.000000
29.449566,3,0,0.000000,0.000000,543.800293,0.000032,0.000000,-12.642244,0.00000000,0.00000000,92.887573,0.00000000,0.000000,0.000000
29.749561,3,0,0.000000,0.000000,540.008057,0.000032,0.000000,-12.639935,0.00000000,0.00000000,92.887451,0.00000000,0.000000,0.000000
30.049557,3,0,0.000000,0.000000,536.216553,0.000032,0.000000,-12.637623,0.00000000,0.00000000,92.887573,0.00000000,0.000000,0.000000
30.349552,3,0,0.000000,0.000000,532.425659,0.000032,0.000000,-12.635311,0.00000000,0.00000000,92.887573,0.00000000,0.000000,0.000000
30.649548,3,0,0.000000,0.000000,528.635498,0.000032,0.000000,-12.633005,0.00000000,0.00000000,92.887695,0.00000000,0.000000,0.000000
30.949543,3,0,0.000000,0.000000,524.846069,0.000032,0.000000,-12.630705,0.00000000,0.00000000,92.887817,0.00000000,0.000000,0.000000
31.249538,3,0,0.000000,0.000000,521.057251,0.000032,0.000000,-12.628405,0.00000000,0.00000000,92.887817,0.00000000,0.000000,0.000000
31.549534,3,0,0.000000,0.000000,517.269165,0.000032,0.000000,-12.626106,0.00000000,0.00000000,92.887939,0.00000000,0.000000,0.000000
31.849529,3,0,0.000000,0.000000,513.481812,0.000032,0.000000,-12.623810,0.00000000,0.00000000,92.888062,0.00000000,0.000000,0.000000
32.149525,3,0,0.000000,0.000000,509.695190,0.000032,0.000000,-12.621510,0.00000000,0.00000000,92.888062,0.00000000,0.000000,0.000000
32.449520,3,0,0.000000,0.000000,505.909180,0.000032,0.000000,-12.619209,0.00000000,0.00000000,92.888062,0.00000000,0.000000,0.000000
32.749516,3,0,0.000000,0.000000,502.123901,0.000032,0.000000,-12.616913,0.00000000,0.00000000,92.888062,0.00000000,0.000000,0.000000
33.049511,3,0,0.000000,0.000000,498.339355,0.000032,0.000000,-12.614620,0.00000000,0.00000000,92.888306,0.00000000,0.000000,0.000000
33.349506,3,0,0.000000,0.000000,494.555420,0.000032,0.000000,-12.612318,0.00000000,0.00000000,92.888794,0.00000000,0.000000,0.000000
33.649502,3,0,0.000000,0.000000,490.772217,0.000032,0.000000,-12.610003,0.00000000,0.00000000,92.889160,0.00000000,0.000000,0.000000
33.949497,3,0,0.000000,0.000000,486.989624,0.000032,0.000000,-12.607687,0.00000000,0.00000000,92.889526,0.00000000,0.000000,0.000000
34.249493,3,0,0.000000,0.000000,483.207764,0.000032,0.000000,-12.605364,0.00000000,0.00000000,92.889526,0.00000000,0.000000,0.000000
34.549488,3,0,0.000000,0.000000,479.426636,0.000032,0.000000,-12.603041,0.00000000,0.00000000,92.889771,0.00000000,0.000000,0.000000
34.849483,3,0,0.000000,0.000000,475.646240,0.000032,0.000000,-12.600718,0.00000000,0.00000000,92.889771,0.00000000,0.000000,0.000000
35.149479,3,0,0.000000,0.000000,471.866455,0.000032,0.000000,-12.598398,0.00000000,0.00000000,92.890015,0.00000000,0.000000,0.000000
35.449474,3,0,0.000000,0.000000,468.087402,0.000032,0.000000,-12.596077,0.00000000,0.00000000,92.890015,0.00000000,0.000000,0.000000
35.749470,3,0,0.000000,0.000000,464.309082,0.000032,0.000000,-12.593754,0.00000000,0.00000000,92.890015,0.00000000,0.000000,0.000000
36.049465,3,0,0.000000,0.000000,460.531372,0.000032,0.000000,-12.591431,0.00000000,0.00000000,92.890015,0.00000000,0.000000,0.000000
36.349461,3,0,0.000000,0.000000,456.754395,0.000032,0.000000,-12.589111,0.00000000,0.00000000,92.890015,0.00000000,0.000000,0.000000
36.649456,3,0,0.000000,0.000000,452.978149,0.000032,0.000000,-12.586800,0.00000000,0.00000000,92.890137,0.00000000,0.000000,0.000000
36.949451,3,0,0.000000,0.000000,449.202515,0.000032,0.000000,-12.584488,0.00000000,0.00000000,92.890137,0.00000000,0.000000,0.000000
37.249447,3,0,0.000000,0.000000,445.427612,0.000032,0.000000,-12.582176,0.00000000,0.00000000,92.890259,0.00000000,0.000000,0.000000
37.549442,3,0,0.000000,0.000000,441.653442,0.000032,0.000000,-12.579876,0.00000000,0.00000000,92.890381,0.00000000,0.000000,0.000000
37.849438,3,0,0.000000,0.000000,437.880005,0.000032,0.000000,-12.577564,0.00000000,0.00000000,92.890503,0.00000000,0.000000,0.000000
38.149433,3,0,0.000000,0.000000,434.107178,0.000032,0.000000,-12.575254,0.00000000,0.00000000,92.890503,0.00000000,0.000000,0.000000
38.449429,3,0,0.000000,0.000000,430.335083,0.000032,0.000000,-12.572947,0.00000000,0.00000000,92.890503,0.00000000,0.000000,0.000000
38.749424,3,0,0.000000,0.000000,426.563721,0.000032,0.000000,-12.570639,0.00000000,0.00000000,92.890503,0.00000000,0.000000,0.000000
39.049419,3,0,0.000000,0.000000,422.792969,0.000032,0.000000,-12.568338,0.00000000,0.00000000,92.890503,0.00000000,0.000000,0.000000
39.349415,3,0,0.000000,0.000000,419.022949,0.000032,0.000000,-12.566038,0.00000000,0.00000000,92.890625,0.00000000,0.000000,0.000000
39.649410,3,0,0.000000,0.000000,415.253662,0.000032,0.000000,-12.563740,0.00000000,0.00000000,92.890625,0.00000000,0.000000,0.000000
